PeriodID,GameID,Number,Name,Type,AwayScore,HomeScore
72135,40391,1,1,Half,26,39
72136,42872,1,1,Half,33,26
72137,37322,1,1,Half,23,32
72138,40390,1,1,Half,34,35
72139,37326,1,1,Half,33,18
72140,37325,1,1,Half,40,44
72141,37895,1,1,Half,35,27
72142,38303,1,1,Half,23,38
72143,42661,1,1,Half,31,34
72144,38304,1,1,Half,19,20
72145,37330,2,2,Half,29,44
72146,42022,2,2,Half,31,45
72147,36658,2,2,Half,39,38
72148,42018,2,2,Half,30,33
72149,37329,2,2,Half,34,32
72150,41147,2,2,Half,46,36
72151,40391,2,2,Half,34,36
72152,42872,2,2,Half,34,45
72153,37322,2,2,Half,37,39
72154,40390,2,2,Half,28,26
72155,37326,2,2,Half,33,50
72156,37325,2,2,Half,40,32
72157,37895,2,2,Half,29,32
72158,37324,2,2,Half,34,40
72159,37319,2,2,Half,37,42
